Htno,Subcode,Subname,Internals,Grade,Credits
19B81A0139,R19BS1203,MATHEMATICS-III,16,D,3.0
19B81A0201,R19BS1202,MATHEMATICS-II,5,ABSENT,0.0
19B81A0201,R19BS1203,MATHEMATICS-III,11,ABSENT,0.0
19B81A0201,R19BS1204,APPLIED PHYSICS,10,ABSENT,0.0
19B81A0201,R19ES1212,FUNDAMENTALS OF COMPUTERS,13,ABSENT,0.0
19B81A0201,R19ES1217,ELECTRICAL CIRCUIT ANALYSIS-I,9,ABSENT,0.0
19B81A0202,R19BS1202,MATHEMATICS-II,7,ABSENT,0.0
19B81A0202,R19BS1203,MATHEMATICS-III,10,ABSENT,0.0
19B81A0202,R19BS1204,APPLIED PHYSICS,9,F,0.0
19B81A0202,R19ES1212,FUNDAMENTALS OF COMPUTERS,13,ABSENT,0.0
19B81A0202,R19ES1217,ELECTRICAL CIRCUIT ANALYSIS-I,11,ABSENT,0.0
19B81A0204,R19BS1203,MATHEMATICS-III,17,F,0.0
19B81A0210,R19BS1204,APPLIED PHYSICS,12,F,0.0
19B81A0218,R19BS1203,MATHEMATICS-III,15,ABSENT,0.0
19B81A0218,R19BS1204,APPLIED PHYSICS,10,F,0.0
19B81A0218,R19ES1217,ELECTRICAL CIRCUIT ANALYSIS-I,12,F,0.0
19B81A0220,R19BS1203,MATHEMATICS-III,14,ABSENT,0.0
19B81A0221,R19BS1204,APPLIED PHYSICS,12,C,3.0
19B81A0221,R19ES1217,ELECTRICAL CIRCUIT ANALYSIS-I,9,F,0.0
19B81A0223,R19BS1203,MATHEMATICS-III,16,F,0.0
19B81A0223,R19BS1204,APPLIED PHYSICS,13,D,3.0
19B81A0223,R19ES1217,ELECTRICAL CIRCUIT ANALYSIS-I,11,F,0.0
19B81A0226,R19BS1203,MATHEMATICS-III,18,F,0.0
19B81A0229,R19BS1202,MATHEMATICS-II,5,D,3.0
19B81A0230,R19BS1203,MATHEMATICS-III,17,F,0.0
19B81A0233,R19BS1203,MATHEMATICS-III,14,F,0.0
19B81A0233,R19BS1204,APPLIED PHYSICS,10,F,0.0
19B81A0241,R19BS1203,MATHEMATICS-III,11,F,0.0
19B81A0241,R19ES1217,ELECTRICAL CIRCUIT ANALYSIS-I,12,D,3.0
19B81A0243,R19BS1203,MATHEMATICS-III,17,F,0.0
19B81A0247,R19BS1204,APPLIED PHYSICS,14,F,0.0
19B81A0248,R19BS1203,MATHEMATICS-III,15,F,0.0
19B81A0248,R19ES1217,ELECTRICAL CIRCUIT ANALYSIS-I,14,F,0.0
19B81A0253,R19BS1203,MATHEMATICS-III,15,D,3.0
19B81A0264,R19BS1203,MATHEMATICS-III,17,F,0.0
19B81A0275,R19BS1202,MATHEMATICS-II,5,ABSENT,0.0
19B81A0275,R19BS1203,MATHEMATICS-III,5,ABSENT,0.0
19B81A0275,R19BS1204,APPLIED PHYSICS,5,ABSENT,0.0
19B81A0275,R19ES1212,FUNDAMENTALS OF COMPUTERS,5,ABSENT,0.0
19B81A0275,R19ES1217,ELECTRICAL CIRCUIT ANALYSIS-I,5,ABSENT,0.0
19B81A0276,R19BS1204,APPLIED PHYSICS,12,D,3.0
19B81A0276,R19ES1217,ELECTRICAL CIRCUIT ANALYSIS-I,16,C,3.0
19B81A0278,R19BS1204,APPLIED PHYSICS,16,D,3.0
19B81A0284,R19BS1203,MATHEMATICS-III,15,F,0.0
19B81A0284,R19BS1204,APPLIED PHYSICS,15,F,0.0
19B81A0284,R19ES1217,ELECTRICAL CIRCUIT ANALYSIS-I,14,F,0.0
19B81A0295,R19BS1203,MATHEMATICS-III,18,F,0.0
19B81A0295,R19BS1204,APPLIED PHYSICS,15,F,0.0
19B81A0303,R19ES1204,ENGINEERING MECHANICS,10,F,0.0
19B81A0307,R19BS1210,ENGINEERING CHEMISTRY,15,F,0.0
19B81A0309,R19BS1210,ENGINEERING CHEMISTRY,11,F,0.0
19B81A0314,R19ES1206,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,16,C,3.0
19B81A0316,R19BS1210,ENGINEERING CHEMISTRY,13,F,0.0
19B81A0319,R19BS1210,ENGINEERING CHEMISTRY,12,D,3.0
19B81A0325,R19BS1210,ENGINEERING CHEMISTRY,10,F,0.0
19B81A0325,R19ES1204,ENGINEERING MECHANICS,12,D,3.0
19B81A0325,R19ES1206,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,12,D,3.0
19B81A0326,R19BS1210,ENGINEERING CHEMISTRY,13,D,3.0
19B81A0330,R19BS1210,ENGINEERING CHEMISTRY,13,F,0.0
19B81A0333,R19BS1210,ENGINEERING CHEMISTRY,13,F,0.0
19B81A0333,R19ES1204,ENGINEERING MECHANICS,17,F,0.0
19B81A0334,R19ES1204,ENGINEERING MECHANICS,14,ABSENT,0.0
19B81A0341,R19BS1210,ENGINEERING CHEMISTRY,13,F,0.0
19B81A0341,R19ES1204,ENGINEERING MECHANICS,17,F,0.0
19B81A0341,R19ES1206,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,15,D,3.0
19B81A0343,R19ES1204,ENGINEERING MECHANICS,13,F,0.0
19B81A0343,R19ES1206,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,15,ABSENT,0.0
19B81A0346,R19BS1210,ENGINEERING CHEMISTRY,12,F,0.0
19B81A0346,R19ES1204,ENGINEERING MECHANICS,14,ABSENT,0.0
19B81A0352,R19BS1210,ENGINEERING CHEMISTRY,14,F,0.0
19B81A0352,R19ES1204,ENGINEERING MECHANICS,16,F,0.0
19B81A0365,R19ES1204,ENGINEERING MECHANICS,15,F,0.0
19B81A0367,R19ES1204,ENGINEERING MECHANICS,14,F,0.0
19B81A0370,R19BS1210,ENGINEERING CHEMISTRY,12,F,0.0
19B81A0402,R19BS1203,MATHEMATICS-III,16,F,0.0
19B81A0403,R19BS1203,MATHEMATICS-III,19,F,0.0
19B81A0404,R19BS1203,MATHEMATICS-III,17,F,0.0
19B81A0404,R19BS1204,APPLIED PHYSICS,15,D,3.0
19B81A0406,R19BS1203,MATHEMATICS-III,16,F,0.0
19B81A0432,R19BS1203,MATHEMATICS-III,16,F,0.0
19B81A0434,R19BS1204,APPLIED PHYSICS,13,D,3.0
19B81A0434,R19ES1209,NETWORK ANALYSIS,13,D,3.0
19B81A0446,R19BS1203,MATHEMATICS-III,17,F,0.0
19B81A0462,R19BS1203,MATHEMATICS-III,11,F,0.0
19B81A0462,R19BS1204,APPLIED PHYSICS,12,C,3.0
19B81A0467,R19BS1203,MATHEMATICS-III,15,D,3.0
19B81A0467,R19ES1209,NETWORK ANALYSIS,15,F,0.0
19B81A0471,R19BS1203,MATHEMATICS-III,15,F,0.0
19B81A0471,R19ES1209,NETWORK ANALYSIS,15,F,0.0
19B81A0488,R19ES1209,NETWORK ANALYSIS,14,F,0.0
19B81A0490,R19BS1203,MATHEMATICS-III,15,D,3.0
19B81A0491,R19BS1203,MATHEMATICS-III,19,F,0.0
19B81A04A8,R19BS1202,MATHEMATICS-II,16,ABSENT,0.0
19B81A04A8,R19BS1203,MATHEMATICS-III,13,ABSENT,0.0
19B81A04A8,R19ES1209,NETWORK ANALYSIS,15,ABSENT,0.0
19B81A04B8,R19BS1203,MATHEMATICS-III,20,F,0.0
19B81A04C9,R19BS1202,MATHEMATICS-II,18,ABSENT,0.0
19B81A04C9,R19BS1203,MATHEMATICS-III,18,ABSENT,0.0
19B81A04C9,R19ES1211,BASIC ELECTRICAL ENGINEERING,16,ABSENT,0.0
19B81A04E1,R19ES1209,NETWORK ANALYSIS,15,F,0.0
19B81A04E2,R19BS1203,MATHEMATICS-III,15,F,0.0
19B81A04G2,R19BS1203,MATHEMATICS-III,12,F,0.0
19B81A04G4,R19BS1203,MATHEMATICS-III,13,F,0.0
19B81A04G4,R19ES1209,NETWORK ANALYSIS,18,F,0.0
19B81A04G8,R19ES1209,NETWORK ANALYSIS,15,F,0.0
19B81A04H6,R19BS1203,MATHEMATICS-III,18,F,0.0
19B81A0504,R19BS1202,MATHEMATICS-II,14,F,0.0
19B81A0504,R19BS1203,MATHEMATICS-III,14,F,0.0
19B81A0504,R19ES1201,PROGRAMMING FOR PROBLEM SOLVING USING C,16,D,3.0
19B81A0504,R19ES1213,DIGITAL LOGIC DESIGN,15,D,3.0
19B81A0512,R19BS1203,MATHEMATICS-III,12,F,0.0
19B81A0512,R19ES1201,PROGRAMMING FOR PROBLEM SOLVING USING C,15,D,3.0
19B81A0522,R19BS1203,MATHEMATICS-III,18,F,0.0
19B81A0522,R19ES1201,PROGRAMMING FOR PROBLEM SOLVING USING C,16,D,3.0
19B81A0522,R19ES1213,DIGITAL LOGIC DESIGN,17,F,0.0
19B81A0530,R19BS1203,MATHEMATICS-III,18,F,0.0
19B81A0530,R19ES1201,PROGRAMMING FOR PROBLEM SOLVING USING C,16,D,3.0
19B81A0534,R19ES1201,PROGRAMMING FOR PROBLEM SOLVING USING C,15,D,3.0
19B81A0547,R19BS1203,MATHEMATICS-III,19,F,0.0
19B81A0554,R19BS1203,MATHEMATICS-III,16,F,0.0
19B81A0556,R19BS1203,MATHEMATICS-III,15,F,0.0
19B81A0557,R19BS1203,MATHEMATICS-III,19,F,0.0
19B81A0557,R19ES1213,DIGITAL LOGIC DESIGN,17,D,3.0
19B81A0568,R19ES1201,PROGRAMMING FOR PROBLEM SOLVING USING C,12,D,3.0
19B81A0590,R19BS1203,MATHEMATICS-III,18,F,0.0
19B81A0594,R19BS1203,MATHEMATICS-III,17,F,0.0
19B81A0594,R19BS1204,APPLIED PHYSICS,15,D,3.0
19B81A05A2,R19BS1204,APPLIED PHYSICS,19,D,3.0
19B81A05A7,R19BS1203,MATHEMATICS-III,17,F,0.0
19B81A05A8,R19ES1201,PROGRAMMING FOR PROBLEM SOLVING USING C,15,D,3.0
19B81A05B1,R19BS1203,MATHEMATICS-III,16,ABSENT,0.0
19B81A05B1,R19BS1204,APPLIED PHYSICS,15,ABSENT,0.0
19B81A05B1,R19ES1201,PROGRAMMING FOR PROBLEM SOLVING USING C,11,ABSENT,0.0
19B81A05B1,R19ES1213,DIGITAL LOGIC DESIGN,13,ABSENT,0.0
19B81A05B9,R19BS1203,MATHEMATICS-III,11,F,0.0
19B81A05B9,R19ES1201,PROGRAMMING FOR PROBLEM SOLVING USING C,12,F,0.0
19B81A05D2,R19BS1202,MATHEMATICS-II,16,F,0.0
19B81A05D2,R19BS1203,MATHEMATICS-III,19,F,0.0
19B81A05D2,R19BS1204,APPLIED PHYSICS,12,F,0.0
19B81A05D7,R19BS1204,APPLIED PHYSICS,13,F,0.0
19B81A05E1,R19BS1202,MATHEMATICS-II,13,ABSENT,0.0
19B81A05E1,R19BS1203,MATHEMATICS-III,12,F,0.0
19B81A05E1,R19BS1204,APPLIED PHYSICS,12,ABSENT,0.0
19B81A05E1,R19ES1201,PROGRAMMING FOR PROBLEM SOLVING USING C,13,F,0.0
19B81A05F1,R19BS1203,MATHEMATICS-III,13,F,0.0
19B81A05F1,R19BS1204,APPLIED PHYSICS,13,F,0.0
19B81A05F1,R19ES1201,PROGRAMMING FOR PROBLEM SOLVING USING C,15,ABSENT,0.0
19B81A05F9,R19BS1203,MATHEMATICS-III,17,F,0.0
19B81A05F9,R19BS1204,APPLIED PHYSICS,16,F,0.0
19B81A05F9,R19ES1201,PROGRAMMING FOR PROBLEM SOLVING USING C,16,D,3.0
19B81A05F9,R19ES1213,DIGITAL LOGIC DESIGN,20,D,3.0
19B81A05H3,R19BS1203,MATHEMATICS-III,17,F,0.0
19B81A05I7,R19ES1201,PROGRAMMING FOR PROBLEM SOLVING USING C,15,C,3.0
19B81A05I9,R19BS1203,MATHEMATICS-III,12,F,0.0
19B81A05I9,R19BS1204,APPLIED PHYSICS,14,F,0.0
19B81A05I9,R19ES1201,PROGRAMMING FOR PROBLEM SOLVING USING C,16,C,3.0
19B81A1201,R19BS1203,MATHEMATICS-III,15,F,0.0
19B81A1214,R19BS1203,MATHEMATICS-III,17,D,3.0
19B81A1214,R19BS1204,APPLIED PHYSICS,15,F,0.0
19B81A1217,R19BS1202,MATHEMATICS-II,10,D,3.0
19B81A1217,R19BS1203,MATHEMATICS-III,15,F,0.0
19B81A1217,R19BS1204,APPLIED PHYSICS,10,F,0.0
19B81A1218,R19BS1203,MATHEMATICS-III,17,F,0.0
19B81A1219,R19BS1203,MATHEMATICS-III,19,F,0.0
19B81A1221,R19BS1203,MATHEMATICS-III,14,F,0.0
19B81A1225,R19BS1203,MATHEMATICS-III,16,D,3.0
19B81A1225,R19BS1204,APPLIED PHYSICS,13,D,3.0
19B81A1225,R19ES1213,DIGITAL LOGIC DESIGN,12,D,3.0
19B81A1226,R19BS1203,MATHEMATICS-III,19,F,0.0
19B81A1231,R19BS1203,MATHEMATICS-III,16,F,0.0
19B81A1237,R19BS1204,APPLIED PHYSICS,10,D,3.0
19B81A1245,R19BS1203,MATHEMATICS-III,17,D,3.0
19B81A1255,R19BS1203,MATHEMATICS-III,18,F,0.0
19B81A1271,R19BS1203,MATHEMATICS-III,19,F,0.0
19B81A1272,R19BS1202,MATHEMATICS-II,12,F,0.0
19B81A1272,R19BS1203,MATHEMATICS-III,19,F,0.0
19B81A1272,R19BS1204,APPLIED PHYSICS,13,F,0.0
19B81A1272,R19ES1213,DIGITAL LOGIC DESIGN,12,F,0.0
19B81A1275,R19BS1203,MATHEMATICS-III,17,ABSENT,0.0
19B81A1279,R19BS1203,MATHEMATICS-III,20,F,0.0
19B81A1287,R19BS1203,MATHEMATICS-III,18,F,0.0
19B81A1297,R19BS1203,MATHEMATICS-III,15,C,3.0
19B81A1299,R19BS1203,MATHEMATICS-III,18,F,0.0
19B81A12B4,R19BS1204,APPLIED PHYSICS,15,F,0.0
19B81A12C4,R19ES1201,PROGRAMMING FOR PROBLEM SOLVING USING C,16,D,3.0
19B81A12C8,R19BS1204,APPLIED PHYSICS,16,F,0.0
20B81A0107,R201202,ENGINEERING CHEMISTRY,19,F,0.0
20B81A0108,R201202,ENGINEERING CHEMISTRY,22,F,0.0
20B81A0108,R201204,PROGRAMMING FOR PROBLEM SOLVING USING C,23,F,0.0
20B81A0143,R201204,PROGRAMMING FOR PROBLEM SOLVING USING C,22,F,0.0
20B81A0145,R201201,MATHEMATICS-II,24,F,0.0
20B81A0203,R201207,APPLIED PHYSICS,27,F,0.0
20B81A0205,R201207,APPLIED PHYSICS,22,ABSENT,0.0
20B81A0205,R201208,DATA STRUCTURES THROUGH C,17,F,0.0
20B81A0205,R201227,BASIC CIVIL AND MECHANICAL ENGINEERING,12,F,0.0
20B81A0209,R201206,MATHEMATICS-III,20,F,0.0
20B81A0209,R201207,APPLIED PHYSICS,19,F,0.0
20B81A0209,R201208,DATA STRUCTURES THROUGH C,13,E,3.0
20B81A0210,R201206,MATHEMATICS-III,23,F,0.0
20B81A0210,R201207,APPLIED PHYSICS,21,F,0.0
20B81A0215,R201206,MATHEMATICS-III,21,F,0.0
20B81A0217,R201206,MATHEMATICS-III,20,F,0.0
20B81A0221,R201206,MATHEMATICS-III,21,F,0.0
20B81A0221,R201209,ELECTRICAL CIRCUIT ANALYSIS-I,21,F,0.0
20B81A0226,R201206,MATHEMATICS-III,22,F,0.0
20B81A0227,R201209,ELECTRICAL CIRCUIT ANALYSIS-I,25,F,0.0
20B81A0228,R201206,MATHEMATICS-III,24,F,0.0
20B81A0229,R201208,DATA STRUCTURES THROUGH C,18,ABSENT,0.0
20B81A0229,R201209,ELECTRICAL CIRCUIT ANALYSIS-I,18,ABSENT,0.0
20B81A0234,R201206,MATHEMATICS-III,22,D,3.0
20B81A0234,R201207,APPLIED PHYSICS,21,E,3.0
20B81A0235,R201206,MATHEMATICS-III,22,F,0.0
20B81A0236,R201206,MATHEMATICS-III,25,F,0.0
20B81A0243,R201206,MATHEMATICS-III,24,D,3.0
20B81A0244,R201206,MATHEMATICS-III,24,F,0.0
20B81A0245,R201206,MATHEMATICS-III,22,F,0.0
20B81A0246,R201206,MATHEMATICS-III,23,F,0.0
20B81A0255,R201208,DATA STRUCTURES THROUGH C,20,F,0.0
20B81A0255,R201209,ELECTRICAL CIRCUIT ANALYSIS-I,16,F,0.0
20B81A0255,R201227,BASIC CIVIL AND MECHANICAL ENGINEERING,17,F,0.0
20B81A0257,R201206,MATHEMATICS-III,24,F,0.0
20B81A0261,R201206,MATHEMATICS-III,24,F,0.0
20B81A0265,R201206,MATHEMATICS-III,22,F,0.0
20B81A0265,R201208,DATA STRUCTURES THROUGH C,21,F,0.0
20B81A0266,R201206,MATHEMATICS-III,25,D,3.0
20B81A0266,R201209,ELECTRICAL CIRCUIT ANALYSIS-I,23,E,3.0
20B81A0269,R201206,MATHEMATICS-III,21,F,0.0
20B81A0269,R201207,APPLIED PHYSICS,20,F,0.0
20B81A0272,R201206,MATHEMATICS-III,24,F,0.0
20B81A0278,R201206,MATHEMATICS-III,23,F,0.0
20B81A0279,R201207,APPLIED PHYSICS,21,F,0.0
20B81A0280,R201207,APPLIED PHYSICS,14,F,0.0
20B81A0280,R201208,DATA STRUCTURES THROUGH C,17,D,3.0
20B81A0281,R201206,MATHEMATICS-III,22,F,0.0
20B81A0281,R201207,APPLIED PHYSICS,16,ABSENT,0.0
20B81A0281,R201208,DATA STRUCTURES THROUGH C,16,F,0.0
20B81A0281,R201209,ELECTRICAL CIRCUIT ANALYSIS-I,18,F,0.0
20B81A0281,R201227,BASIC CIVIL AND MECHANICAL ENGINEERING,13,ABSENT,0.0
20B81A0282,R201207,APPLIED PHYSICS,13,F,0.0
20B81A0282,R201209,ELECTRICAL CIRCUIT ANALYSIS-I,22,F,0.0
20B81A0284,R201206,MATHEMATICS-III,23,C,3.0
20B81A0286,R201206,MATHEMATICS-III,23,F,0.0
20B81A0286,R201207,APPLIED PHYSICS,26,F,0.0
20B81A0286,R201208,DATA STRUCTURES THROUGH C,25,F,0.0
20B81A0288,R201206,MATHEMATICS-III,24,F,0.0
20B81A0289,R201206,MATHEMATICS-III,24,F,0.0
20B81A0289,R201207,APPLIED PHYSICS,20,F,0.0
20B81A0289,R201209,ELECTRICAL CIRCUIT ANALYSIS-I,21,F,0.0
20B81A0293,R201206,MATHEMATICS-III,22,D,3.0
20B81A0293,R201207,APPLIED PHYSICS,21,F,0.0
20B81A0294,R201206,MATHEMATICS-III,22,F,0.0
20B81A0294,R201207,APPLIED PHYSICS,23,F,0.0
20B81A0294,R201209,ELECTRICAL CIRCUIT ANALYSIS-I,23,F,0.0
20B81A0297,R201209,ELECTRICAL CIRCUIT ANALYSIS-I,22,F,0.0
20B81A0299,R201206,MATHEMATICS-III,23,F,0.0
20B81A02A3,R201206,MATHEMATICS-III,24,F,0.0
20B81A02A3,R201209,ELECTRICAL CIRCUIT ANALYSIS-I,20,F,0.0
20B81A02A6,R201206,MATHEMATICS-III,25,F,0.0
20B81A02A6,R201207,APPLIED PHYSICS,26,F,0.0
20B81A02A6,R201209,ELECTRICAL CIRCUIT ANALYSIS-I,22,F,0.0
20B81A02B0,R201207,APPLIED PHYSICS,12,F,0.0
20B81A02B0,R201227,BASIC CIVIL AND MECHANICAL ENGINEERING,12,F,0.0
20B81A0304,R201211,BASIC ELECTRICAL AND ELECTRONICS ENGINEE,18,ABSENT,0.0
20B81A0305,R201202,ENGINEERING CHEMISTRY,15,F,0.0
20B81A0306,R201201,MATHEMATICS-II,9,E,3.0
20B81A0306,R201202,ENGINEERING CHEMISTRY,14,F,0.0
20B81A0306,R201210,ENGINEERING MECHANICS,12,F,0.0
20B81A0306,R201211,BASIC ELECTRICAL AND ELECTRONICS ENGINEE,12,F,0.0
20B81A0308,R201210,ENGINEERING MECHANICS,21,ABSENT,0.0
20B81A0325,R201201,MATHEMATICS-II,24,F,0.0
20B81A0325,R201210,ENGINEERING MECHANICS,22,F,0.0
20B81A0328,R201201,MATHEMATICS-II,21,F,0.0
20B81A0328,R201210,ENGINEERING MECHANICS,17,F,0.0
20B81A0333,R201201,MATHEMATICS-II,23,D,3.0
20B81A0333,R201202,ENGINEERING CHEMISTRY,16,F,0.0
20B81A0333,R201211,BASIC ELECTRICAL AND ELECTRONICS ENGINEE,17,F,0.0
20B81A0334,R201202,ENGINEERING CHEMISTRY,15,F,0.0
20B81A0334,R201254,THERMODYNAMICS,15,F,0.0
20B81A0335,R201202,ENGINEERING CHEMISTRY,10,F,0.0
20B81A0344,R201201,MATHEMATICS-II,20,F,0.0
20B81A0350,R201202,ENGINEERING CHEMISTRY,18,ABSENT,0.0
20B81A0355,R201201,MATHEMATICS-II,19,F,0.0
20B81A0355,R201202,ENGINEERING CHEMISTRY,17,F,0.0
20B81A0355,R201254,THERMODYNAMICS,12,F,0.0
20B81A0362,R201201,MATHEMATICS-II,22,F,0.0
20B81A0362,R201202,ENGINEERING CHEMISTRY,13,F,0.0
20B81A0362,R201210,ENGINEERING MECHANICS,12,F,0.0
20B81A0363,R201202,ENGINEERING CHEMISTRY,19,F,0.0
20B81A0363,R201254,THERMODYNAMICS,17,D,3.0
20B81A0368,R201201,MATHEMATICS-II,23,F,0.0
20B81A0368,R201202,ENGINEERING CHEMISTRY,18,F,0.0
20B81A0368,R201210,ENGINEERING MECHANICS,16,ABSENT,0.0
20B81A0368,R201211,BASIC ELECTRICAL AND ELECTRONICS ENGINEE,14,ABSENT,0.0
20B81A0384,R201201,MATHEMATICS-II,23,E,3.0
20B81A0384,R201202,ENGINEERING CHEMISTRY,23,F,0.0
20B81A0384,R201210,ENGINEERING MECHANICS,17,F,0.0
20B81A0384,R201211,BASIC ELECTRICAL AND ELECTRONICS ENGINEE,18,F,0.0
20B81A0384,R201254,THERMODYNAMICS,21,F,0.0
20B81A0388,R201201,MATHEMATICS-II,23,C,3.0
20B81A0388,R201202,ENGINEERING CHEMISTRY,20,D,3.0
20B81A0388,R201254,THERMODYNAMICS,11,F,0.0
20B81A0392,R201202,ENGINEERING CHEMISTRY,20,E,3.0
20B81A0394,R201201,MATHEMATICS-II,23,F,0.0
20B81A0394,R201202,ENGINEERING CHEMISTRY,19,F,0.0
20B81A0394,R201254,THERMODYNAMICS,20,E,3.0
20B81A0396,R201202,ENGINEERING CHEMISTRY,18,F,0.0
20B81A0405,R201201,MATHEMATICS-II,21,D,3.0
20B81A0413,R201207,APPLIED PHYSICS,14,ABSENT,0.0
20B81A0413,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,23,ABSENT,0.0
20B81A0413,R201213,NETWORK ANALYSIS,19,ABSENT,0.0
20B81A0413,R201214,BASIC ELECTRICAL ENGINEERING,19,ABSENT,0.0
20B81A0423,R201207,APPLIED PHYSICS,20,F,0.0
20B81A0426,R201201,MATHEMATICS-II,23,F,0.0
20B81A0426,R201207,APPLIED PHYSICS,21,F,0.0
20B81A0426,R201213,NETWORK ANALYSIS,19,F,0.0
20B81A0431,R201207,APPLIED PHYSICS,15,F,0.0
20B81A0432,R201207,APPLIED PHYSICS,15,F,0.0
20B81A0442,R201213,NETWORK ANALYSIS,23,D,3.0
20B81A0451,R201201,MATHEMATICS-II,20,ABSENT,0.0
20B81A0451,R201207,APPLIED PHYSICS,17,ABSENT,0.0
20B81A0451,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,22,ABSENT,0.0
20B81A0451,R201213,NETWORK ANALYSIS,21,ABSENT,0.0
20B81A0451,R201214,BASIC ELECTRICAL ENGINEERING,20,ABSENT,0.0
20B81A0453,R201201,MATHEMATICS-II,19,F,0.0
20B81A0459,R201207,APPLIED PHYSICS,13,F,0.0
20B81A0462,R201207,APPLIED PHYSICS,13,F,0.0
20B81A0462,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,19,F,0.0
20B81A0462,R201213,NETWORK ANALYSIS,18,F,0.0
20B81A0462,R201214,BASIC ELECTRICAL ENGINEERING,18,F,0.0
20B81A0470,R201207,APPLIED PHYSICS,21,E,3.0
20B81A0470,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,25,B,3.0
20B81A0470,R201213,NETWORK ANALYSIS,24,F,0.0
20B81A0479,R201201,MATHEMATICS-II,23,D,3.0
20B81A0479,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,21,E,3.0
20B81A0479,R201213,NETWORK ANALYSIS,23,F,0.0
20B81A0479,R201214,BASIC ELECTRICAL ENGINEERING,22,F,0.0
20B81A04D0,R201201,MATHEMATICS-II,22,F,0.0
20B81A04D0,R201214,BASIC ELECTRICAL ENGINEERING,23,F,0.0
20B81A04G1,R201207,APPLIED PHYSICS,17,F,0.0
20B81A04G1,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,19,F,0.0
